用語,AI キーワード,ヨミカタ,作成日時,最終更新日時,最終更新者,略語・別称,説明
TG-WISP,"サービス, システム, 新サービス",ティージーウィスプ,2023年3月20日 18:13,2023年11月20日 17:23,和田理恵,TG-CARS,"TOKYOGAS Web Interface Service Platform　
お客さま情報をキーに、必要な各種サービスのご提案・申込が出来るプラットホーム。もともとはTG-CARS:TOKYOGAS Customer Account Reference System　“東京ガス顧客契約照会システム”として作られたが、プラットフォームとしての利用拡大から顧客契約照会システムだけではなくなってきたのでTG-WISPへと名称を変更した。社内システムとして稼働するにあたって基本的に必要なシステム要件のDUKE認証機能、NW箇所CD、住所CD、箇所別分担　等を実装し、各種お客さま契約検索情報をWebアプリケーションプラットフォームとして提供。一連の流れをテンプレート化することにより短期でのサービスインを可能としている。"
枝番,"契約管理, 顧客情報管理, 顧客識別番号",エダバン,2023年3月20日 18:13,2023年11月20日 17:24,和田理恵,　,mTGの文脈においては、本人特定契約DBの枝番のこと。この値は、同じ会員でも、引っ越しなどで複数の履歴情報を持っている際に、どの契約かを特定するための番号。
新mTG,"ガス・電気, システム, モダナイゼーション, 新技術, 環境構築",しんエムティージー,2023年3月20日 18:15,2023年3月20日 18:15,Yuki Senuma,,KSで構築される、MSFWベースの「シフト先」環境　（モダナイゼーション先）
現行mTG,"ガス・電気, クラウド移行, システム",げんこうエムティージー,2023年3月20日 18:15,2023年3月20日 18:15,Yuki Senuma,,現行オンプレ資材（TGFW）を、Azureへ「リフト」した先の環境　（マイグレーション先）
アグリゲート,"システム統合, バックエンド処理, 新技術",アグリゲート,2023年3月20日 18:15,2025年4月7日 8:25,Yohei Sugisaki,AGG、AggAPI,フロント画面から見て、バックエンドや関連システムからのデータ取得・操作を担当する処理を集約した機能群の名前であり、サーバーの呼び名。現状BFFと同義。
リゾルバ,"システム, ソフトウェア開発, 業界用語",リゾルバ,2023年3月20日 18:16,2023年3月20日 18:16,Yuki Senuma,resolver,"フロント画面から呼び出す関数。フロント画面はリゾルバに所定のリクエストを送ることでバックエンドAPIや関連システムと連携する。検電PJでは
  GraphQL というクエリ言語で実装される。"
リポジトリ,"API統合, ガス・電気, システム, システムアーキテクチャ, データ管理",リポジトリ,2023年3月20日 18:16,2023年3月20日 18:16,Yuki Senuma,repository,フロント画面からバックエンドのAPIを通じて行う処理、データ操作を集約する層。バックエンドAPIから見た場合のI/Fを担う。
フロント画面,"サービス, システム, ユーザーインターフェース",フロントがめん,2023年3月20日 18:16,2023年3月20日 18:16,Yuki Senuma,フロントエンド、Web画面、WEBクライアント、WEC、Webフロント,資料や会話の中では「フロント」や「フロントエンド」と表現される場合もあるが、フロント開発チームを意味する場合があるため、Web画面を指す際には「フロント画面」と表現することがのぞましい。
WEBクライアント,"ウェブ技術, フロントエンド開発, ユーザーインターフェース",ウェブクライアント,2023年3月20日 18:16,2025年4月7日 8:26,Yohei Sugisaki,WEC、ウェック,"用語「フロント画面」と同じ
Reactで実装している部分はWebClient（WEC：ウェック）"
Linear,"サービス, システム, フロントエンド開発",リニア,2023年3月20日 18:16,2026年3月29日 10:47,Yohei Sugisaki,,フロントエンド開発で利用するプロジェクト管理ツール。アグリゲートやフロント画面の開発状況を管理している。
notion,"ドキュメント管理, 新技術, 開発ツール",ノーション,2023年3月20日 18:16,2023年3月20日 18:16,Yuki Senuma,notion,フロントエンド開発で利用するドキュメント管理ツール。アグリゲートやフロント画面の要求仕様、設計情報もここで管理している。
カスタムログイン,"UIデザイン, ユーザー登録, ユーザー認証",カスタムログイン,2023年4月4日 9:44,2025年1月14日 18:22,Ayaka Nakamichi,,"ログインする際に利用する画面（通常のログイン画面）。
ログイン画面はIDCSの機能の一部だが、IDCS専用のログイン画面は会員に提供できる画面ではなくmTG用にカスタマイズしているためカスタムログイン画面と呼称している。
詳細：
https://www.notion.so/0f24b097b6ae46668fadf9cf343915e6?pvs=21
 "
落成,"建設用語, 業界用語, 現場作業",ラクセイ,2023年6月23日 19:02,2025年1月6日 13:15,岩渕健一,,"開栓、閉栓など現場作業の完了のこと。
元々は建築土木分野で、建物や橋などができあがることの意味。"
IVR、VIVR,,アイブイアール、ブイアイブイアール,2024年11月27日 11:03,2025年4月7日 8:25,Yohei Sugisaki,,"IVR→音声で案内されて用件ごとに①とかプッシュするやつ
VIVR→ビジュアルIVR。IVRのWEB版（画面で選んでいくと電話番号が出るので、そこに電話すると専用受付に直電になり、音声を聞かなくてよい）"
ROA,"業界用語, 財務指標",アールオーエー,2024年12月10日 14:55,2026年3月29日 10:47,Yohei Sugisaki,総資産利益率,Return On Assets（総資産利益率）。企業が保有する総資産に対してどれだけの利益を生み出しているかを示す財務指標。ROA = 当期純利益 ÷ 総資産 × 100（%）
DR,"エネルギー管理, ガス・電気, システム",ディーアール,2024年12月25日 20:28,2026年3月29日 10:47,Yohei Sugisaki,Demand Response / デマンドレスポンス,"需要応答。電力の需給バランスが逼迫した際に、消費者側が電力使用量を抑制・シフトすることで需給調整を図る仕組み。経済産業省が推進するエネルギー政策の一つ。
参考：https://www.enecho.meti.go.jp/category/electricity_and_gas/electricity_measures/dr/dr.html"
受付革新,"システム統合, 顧客対応",ウケツケカクシン,2024年12月25日 20:28,2025年4月7日 8:27,Yohei Sugisaki,,"お客さまからの受付業務（引っ越し時の開栓の受付など）を１つのシステム（TG-WISP）で行えるようにするもの。

受付革新以前は、以下のパターンがあった。
①電話を受けてコールセンターの方が入力するときに利用するルートーTHANKS
②直接ライフバルの方に電話が来た時に受付をするルートーLIVALIT
③お客さまがWebから申し込むルートーエネチェンジ"
CPA（APIシリーズ名）,"API管理, 会員管理, 顧客情報管理",シーピーエー,2025年1月8日 10:24,2026年3月29日 10:47,Yohei Sugisaki,,"CPはお客さまポータルの略で、昔はそう呼んでいたのでmyTOKYOGASを指していると思ってください。
CPAIF0104　とかはmyTOKYOGASのAシリーズ（会員管理）のインターフェース、0104って意味です。
詳細は本文参照"
小売,"ガス・電気, 小売業務, 業界用語",コウリ,2025年1月8日 10:28,2025年1月8日 10:29,岩渕健一,,ガスや電気は、国の政策により、製造・供給・販売の3つに分割されているが、その中で販売にあたる箇所を担っている会社を示して言う言葉、
ｍTGHub,"ユーザー認証, 新しいシステム",エムティージーハブ,2025年1月14日 18:35,2025年1月14日 18:46,Ayaka Nakamichi,,"スマホアプリの認証・向き先変更時に利用しているサーバー
管理はサーバーフリー社"
取次,"システム, 収入モデル, 業界用語",とりつぎ,2025年1月15日 17:48,2025年1月15日 17:49,Ayaka Nakamichi,,"■取次とは東京ガスのガスを他の会社に売ってもらう事業形態TG→取次店に請求→取次店から個々のお客さまに請求
　現時点での取次店は5つ・楽天エナジー・JCOM・ヒナタオエナジー・歯愛メディカル・旭化成ホームズ
■取次店のメリット
①東京ガスは他小売りへの流出を防げる小売り契約は東京ガスのまま、脱落にはらない自分たちの商品とバンドルして、セット契約して流出を防ぎたいガスとセット契約にすることで、ケーブルテレビ代金とかを安くしている
②取次店は手数料収入が得られる手数料は請求代行に対する対価
■システムの仕組み一括請求（一括翌３臨有）の仕組みを利用している
例えば、楽天エナジーだと一括2xは約100件それぞれの一括2xに紐付く1xは約500件
請求は一括2x単位

"
IaC,"インフラ管理, 新技術, 自動化技術",アイエーシー,2025年1月20日 10:18,2025年6月4日 17:33,Ayaka Nakamichi,Infrastructure as Code,"Infrastructure as Code。従来手作業でおこなわれていたサーバーやネットワーク機器などの設定、管理をコード化し、自動化する技術
"
IGS,新エネルギー,アイジーエス,2025年1月22日 10:22,2026年3月29日 10:47,Yohei Sugisaki,IGNITUREソーラー,東京ガスグループが提供する太陽光発電サービス「IGNITUREソーラー」の略称。初期費用0円で太陽光パネルを設置し、発電した電力を利用できるサービス。
EF,"エネルギー管理, 新しいサービス, 新技術",エネファーム,2025年1月22日 10:22,2025年1月22日 10:54,Rio Nagatomo,エネファーム,家庭用燃料電池、都市ガスのメタンと水を反応させて水素を作り、その水素を使って電気と熱＝お湯を作る。
HB,"エコエネルギー, ガス・電気, システム",ハイブリッドキュウトウキ,2025年1月22日 10:22,2025年1月22日 10:55,Rio Nagatomo,ハイブリッド給湯器,電気とガス、両方のエネルギーを使ってお湯を沸かせる給湯器、基本的には電気でヒートポンプを動かしてお湯をためておくが、お湯が無くなるとガスを燃やしてお湯を共有するため、エコキュートでよくある湯切れが発生しなくなる。
ZEH,"ガス・電気, サービス, 住宅性能, 新エネルギー, 環境配慮",ゼッチ,2025年1月22日 10:28,2025年1月22日 10:34,Gakuyou Tomita,,net Zero Energy House（ネット・ゼロ・エネルギー・ハウス）の略で、太陽光発電によりエネルギー収支をゼロ以下にする家。家の断熱性能を高めるとともに、高効率設備を採用して年間のエネルギー消費量を削減する住宅のことを指す
EC,"エコキュート, 新技術, 給湯器",エコキュート,2025年1月22日 10:31,2025年4月7日 8:27,Yohei Sugisaki,エコキュート,ヒートポンプを使ってお湯を沸かす給湯器。お湯の製造速度が遅いので、お湯タンクにお湯をためてそれを一気に使う形になる。なので、タンクにお湯が無くなる湯切れ、が発生するのが問題。
エコジョーズ（EJ）,"エコエネルギー, ガスサービス, 新エネルギー",エコジョーズ,2025年1月22日 10:33,2025年4月7日 8:27,Yohei Sugisaki,EJ,"省エネで環境にやさしい高効率給湯器
「エコジョーズ」とは、少ないガス量で効率よくお湯を沸かす省エネ性の高い給湯器のこと。効率がアップすると、ガスの消費量が少なく済むので、環境にやさしく、ガス料金の節約にもつながります。"
pfm,"システム, 戦略分析, 投資管理, 業界用語, 資源配分",ポートフォリオマネジメント,2025年1月22日 10:53,2025年1月22日 10:53,Rio Nagatomo,,資産運用や経営資源の配分を考えるとき、投資案件の1つ1つを個別に評価するのではなく、その集合全体（ポートフォリオ）でのバランスを考慮に入れて分析・検討を行い、合理的な取捨選択・優先順位を導き出して、最適な投資の意思決定を図るマネジメント手法のこと。
TGK,"ガス・電気, サービス, 新しいサービス",ティージーケー,2025年2月5日 10:54,2025年2月5日 10:56,Gakuyou Tomita,東京ガスの機器交換,"東京ガスの提供する家庭用機器販売サービス
https://home.tokyo-gas.co.jp/housing/exchange/index.html"
METI,政府機関,メティー、メティ,2025年3月14日 17:51,2025年4月16日 10:24,岩渕健一,"経済産業省、Ministry of Economy, Trade and Industry","社内では、経済産業省のことをMETIと呼ぶことが多い。管轄省庁。
料金改定や何か問題が起こったときに報告が必要。"
電力ミニマスタ,"ガス・電気, システム, 電力データ管理",デンリョクミニマスタ,2025年3月14日 18:00,2025年3月14日 18:03,Ayaka Nakamichi,ミニマスタ,"電力CISの情報（主に電力使用量）のデータは、電力CISからバッチでmyTOKYOGASのバックエンドへ連携され、バックエンドのデータベースに入れて管理している。
myTOKYOGAが管理している電力CISのコピーデータベースのことを指す。"
LNG,"ガス・電気, 新エネルギー, 業界用語",エルエヌジー,2025年4月9日 10:23,2025年4月16日 10:19,岩渕健一,液化天然ガス,今の都市ガスの原料、天然ガス(NG)を-162℃まで冷やすと液体になってLNGになる。ちなみにLNGより前の時代は石炭を熱して水をかけて出てくる水素や一酸化炭素を主成分とする石炭ガスを都市ガスとして供給していた。量が作れないし、危ないので基本的に今都市ガスとして利用している箇所は国内には無い。
NOAH,"システム, 新システム",ノア,2025年4月9日 10:29,2025年4月16日 10:25,岩渕健一,,"経理システムの名称
詳細はこちら
https://tokyogasgroup.sharepoint.com/sites/NOAH
語源は聖書のノアの箱舟、
ちなみにその前のシステム名はGENEISIS、聖書の創世記が由来"
業務実施計画書,"業務プロセス, 業務支援, 業務運営",ギョウムジッシケイカクショ,2025年4月9日 10:38,2025年4月9日 10:38,slack-to-integration,ギョウケイ,"業務実施計画書は、部署が次年度に取り組む課題や実行計画を示す文書です。以下の要素を含みます

・主なアクションプラン
・指標（KPI）
・主なマイルストーン"
UPP,"エネルギー管理, 新技術, 業界用語",ユーピーピー,2025年4月16日 10:20,2025年4月16日 10:24,岩渕健一,,東京ガス独自用語、UtilityPlatformPlayerの略語、分散電源を活用してエネルギー市場の安定化を目指す戦略を意味する。
高圧一括受電,"新しいサービス, 電力サービス, 高圧電力管理",コウアツイッカツジュデン,2025年4月16日 10:41,2025年4月16日 10:44,宗像大貴 / Hiroki Munekata,,マンションや大型施設全体で電力をまとめて契約し、各戸に分配する仕組み
ライフライン代行,"サービス, 業務支援, 顧客サービス",ライフライン代行,2025年4月23日 10:15,2025年4月23日 10:15,slack-to-integration,LL代行,ライフライン代行サービスとは、引っ越しの際に必要な電気、ガス、水道、インターネットなどの手続きを代行してくれるサービスです。
WR2,"ウェブ技術, サービス, システム",ウェブリリースツー,2025年6月4日 17:34,2025年6月4日 18:10,岩渕健一,webrelease2、ダブユーアールツー,"WebRelease2 は(株)フレームワークス・ソフトウェアが提供する業務用CMSパッケージ製品。純粋な静的CMS
myTOKYOGASの静的コンテンツ、キャンペーンバナーやお知らせ掲載で利用されている
WebRelease 2 (https://www.notion.so/WebRelease-2-b24e2d75fd3049398469477195f9c382?pvs=21) "
CC&B,"システム, 電力サービス, 顧客管理システム",シーシーアンドビー,2025年6月4日 17:45,2025年6月9日 10:48,Ayaka Nakamichi,"CCB
CC&B","現行電力CISのパッケージのこと。（Oracle Utilities Customer Care and Billing の略）
CCBと略すと別のものに認識されるかもしれないのでCC&Bと表示するのを推奨"
SVF,"共通基盤, 帳票基盤, 業務アプリケーション",エスブイエフ,2025年6月4日 17:52,2025年6月4日 17:57,Ayaka Nakamichi,帳票基盤,"オープン系の業務アプリケーションから出力する帳票方式を標準化し、共通基盤として提供されたもの。
詳細は帳票基盤（SVF）情報サイト参照http://itinfo.tg-group.tokyo-gas.co.jp/svf/"
TG-ACPT,"システム, 受付管理, 顧客管理システム",ティージーアクセプト,2025年6月4日 17:54,2025年6月4日 17:56,Ayaka Nakamichi,ACPT,"受付管理
ACPTや受付と呼ばれることもある。東京ガスの申し込みの受付情報を管理するシステム。"
styleflow,"サービス, システム, 情報連携",スタイルフロー,2025年6月4日 17:59,2025年6月4日 18:09,岩渕健一,わくわく,INETへのシステム変更依頼やデータ変更依頼を行う際に利用するサービス。わくわくわーくという取り組みの一環で導入されたため「わくわくフロー」という愛称がつけられているが･･･あんまり浸透していない気がする。製品名がStyleFlow
MDK,"サービス, 新しいサービス, 顧客管理",エムディーケー,2025年6月9日 10:42,2025年6月9日 10:51,Ayaka Nakamichi,水と電気の駆け付けサービス,"月額385円で、急な水まわり・電気設備のトラブルに24時間365日受付、応急処置するサービス。
2025年現在、契約アカウント数は約５万件。
TG電気の附帯サービスを、2021年に電気から切り離しサービス化。
https://home.tokyo-gas.co.jp/service/equipment/water_power/index.html"
TES,"エコエネルギー, 新サービス, 新技術",テス,2025年6月9日 11:28,2025年6月9日 11:33,Keita Higaki,TES、テス,"「TES」は TOKYO GAS ECO SYSTEM（東京ガスエコシステム）の略称で、東京ガスオリジナルの名称です
https://home.tokyo-gas.co.jp/housing/exchange/waterheater/tes-exchange.html"
マルリョウ,"エネルギーサービス, ガス業務改革, 新技術",マルリョウ,2025年7月2日 10:10,2025年7月2日 10:10,"森 奈央 / Nao Mori ",,マルリョウ：マンションの大規模修繕をする会社でして、東京ガスリノベーションが買収した会社でした。東京ガスリノベーションは、マンションの大規模修繕工事を重点領域の一つにしていて、さらに強化するために、塗装・防水工事を得意とする同社を買収したというものでした。フルコーが、昨日話した、太陽光発電設備や蓄電池の設置工事を得意とする会社で、こちらは東京ガス本体が子会社化しています。by及川さん
PMI,"新しい業務設計, 業務プロセス, 統合データ",ピーエムアイ,2025年7月2日 10:23,2025年7月2日 10:25,Rio Nagatomo,,"M&A（合併・買収）後に、買収した企業と自社との間で行う統合作業のこと。
これは、単なる法的な合併にとどまらず、以下のような組織・文化・システム・人材・業務プロセスなど多岐にわたる統合を含む。"
OEM,"システム, 新技術, 業界用語",オーイーエム,2025年7月2日 10:26,2025年7月2日 10:41,Rio Nagatomo,,OEMとは、「オリジナル・エクイップメント・マニュファクチャリング（Original Equipment Manufacturing）」の略語です。直訳すると「自社の製品を製造する会社」となり、日本語では「相手先ブランド製造」などと訳され、わかりやすくいうと 製造メーカーが他社ブランドの製品を製造することを指します。
MCV,"デジタルマーケティング, ユーザー体験, 新技術",エムシーブイ,2025年7月2日 10:30,2025年7月2日 10:41,Rio Nagatomo,,マイクロコンバージョンとは、成果とするコンバージョンよりも手前の段階に設定する仮のコンバージョンを指し、広告運用における指標の1つです。
逆潮流,"新技術, 業界用語, 電力サービス",ギャクチョウリュウ,2025年7月2日 10:39,2025年7月2日 10:41,Rio Nagatomo,,"逆潮流とは、電気が電力会社側に向かって流れる事です。
電気は通常、電力会社から需要家に向かって流れています。これを「順潮流」とも言います。これは需要家が電気を消費しているからです。

しかし需要家に発電設備があると、逆に電力会社側に向かって電気が流れる場合があります。これは、発電設備を有している需要家の電気の消費量より発電量が多くなった場合に発生します。"
脆弱性診断,社内情報セキュリティ,ゼイジャクセイシンダン,2025年12月11日 12:35,2025年12月11日 15:13,"森 奈央 / Nao Mori ",,"「外部公開システム」に対して情報セキュリティ上の問題点（脆弱性）の
有無を確認する行為をいい、https://www.notion.so/2c65a758b70a80c0aa4ced4f053ed723?pvs=21とhttps://www.notion.so/2c65a758b70a80248b61e2c2a66a0d93?pvs=21がある。

☆この項目は、TGG内の外部公開システムセキュリティ基準における定義
一般的な意味より狭義な定義になっている可能性もある
> https://tg-group.app.lumapps.com/serve/1479673870545585-2119708095620993/gaibusec_Ver1.91.pdf?contentDisposition=inline

脆弱性診断の中に 以下の2つがある。
-  ネットワーク診断 (https://www.notion.so/2c65a758b70a80c0aa4ced4f053ed723?pvs=21) 
-  アプリケーション診断 (https://www.notion.so/2c65a758b70a80248b61e2c2a66a0d93?pvs=21) "
ネットワーク診断,社内情報セキュリティ,ネットワークシンダン,2025年12月11日 12:39,2025年12月11日 12:57,Ayaka Nakamichi,,"主に OS、ミドルウェア（OS と独自開発ソフトウェアを取り持つソフト）、
ネットワークを対象として脆弱性の有無を確認する行為をいう。

☆この項目は、TGG内の外部公開システムセキュリティ基準における定義
一般的な意味より狭義な定義になっている可能性もある
> https://tg-group.app.lumapps.com/serve/1479673870545585-2119708095620993/gaibusec_Ver1.91.pdf?contentDisposition=inline"
アプリケーション診断,社内情報セキュリティ,アプリケーションシンダン,2025年12月11日 12:40,2025年12月11日 12:57,Ayaka Nakamichi,,"主に独自開発ソフトウェアを対象として、脆弱性の有無を確認
する行為をいう。

☆この項目は、TGG内の外部公開システムセキュリティ基準における定義
一般的な意味より狭義な定義になっている可能性もある
> https://tg-group.app.lumapps.com/serve/1479673870545585-2119708095620993/gaibusec_Ver1.91.pdf?contentDisposition=inline"
リプレース,社内情報セキュリティ,リプレース,2025年12月11日 12:41,2025年12月11日 12:57,Ayaka Nakamichi,再構築,"外部公開システムを構成するハードウェア、OS、ミドルウェア、ネットワ
ークの更新（置き換え）を 1 つ以上行うことをいう。
外部公開システムの利用者が閲覧または操作する画面・および送受信される情報に一切の変更がないことを条件とする。

☆この項目は、TGG内の外部公開システムセキュリティ基準における定義
一般的な意味より狭義な定義になっている可能性もある
> https://tg-group.app.lumapps.com/serve/1479673870545585-2119708095620993/gaibusec_Ver1.91.pdf?contentDisposition=inline"
システム改修,社内情報セキュリティ,システムカイシュウ,2025年12月11日 12:44,2025年12月11日 12:57,Ayaka Nakamichi,,"外部公開システムの利用者が閲覧または操作する画面を変更する
ことをいう。

☆この項目は、TGG内の外部公開システムセキュリティ基準における定義
一般的な意味より狭義な定義になっている可能性もある
> https://tg-group.app.lumapps.com/serve/1479673870545585-2119708095620993/gaibusec_Ver1.91.pdf?contentDisposition=inline"
脆弱性,社内情報セキュリティ,ゼイジャクセイ,2025年12月11日 12:54,2025年12月11日 12:57,Ayaka Nakamichi,,"ソフトウェア製品やウェブアプリケーション等におけるセキュリティ上の問
題箇所をいう。コンピュータ不正アクセスやコンピュータウイルス等により、この問題の箇所が攻撃されることで、そのソフトウェア製品やウェブアプリケーションの本来の機能や性能を損なう原因となり得るものを指す。
また、個人情報等が適切なアクセス制御の下に管理されていないなど、運営者の不適切な運用により、ウェブアプリケーションのセキュリティが維持できなくなっている状態も含む。

☆この項目は、TGG内の外部公開システムセキュリティ基準における定義
一般的な意味より狭義な定義になっている可能性もある
> https://tg-group.app.lumapps.com/serve/1479673870545585-5027846166713189/zeijyaku.Ver1.4.pdf?contentDisposition=inline"
ドレン,"ガス・電気, 給湯器",どれん,2026年3月4日 10:30,2026年3月4日 15:47,岩渕健一,,エコジョーズ文脈では、水蒸気が水に戻ったときに出る液を指すことが多い。燃焼排気ガスを含むため強い酸性であり、機器内に中和装置が組み込まれている。
マスカレード認証,"システム, ユーザー認証",マスカレードニンショウ,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,masquerade authentication,CSや管理者が特定ユーザーに成り代わってログイン・操作を行う認証方式。問い合わせ対応やデバッグ時に使用される。
Braze,"システム, デジタルマーケティング, 顧客エンゲージメント",ブレイズ,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,,顧客エンゲージメントプラットフォーム。プッシュ通知・メール・アプリ内メッセージ等のマルチチャネル配信を管理する。mTGのマーケティング施策で利用。
TG-ID,"ID管理, mTG/myTOKYOGAS, ユーザー認証",ティージーアイディー,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,東京ガスID,東京ガスグループ共通の顧客識別子。myTOKYOGAS会員やサービス横断で顧客を一意に特定するためのID体系。認証基盤刷新PJで統合が進められている。
SAGAS,"mTG/myTOKYOGAS, 社内用語",サガス,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,,myTOKYOGASのスクラムチームの一つ。
SoE,"システムアーキテクチャ, 業界用語",エスオーイー,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,System of Engagement,顧客接点を担うシステム群の総称。EA（全社アーキテクチャ）の分類でフロントエンド・顧客体験領域を指す。mTGはSoE領域に位置づけられる。
PgMO,"プロジェクト管理, 社内用語",ピージーエムオー,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,Program Management Office,EA・認証基盤刷新・新CRM等の複数プロジェクトを横断的に統括・管理する組織体。mTGではPgMO/PMOとして各PJ間の依存関係やスケジュールを調整する。
Naikist,"mTG/myTOKYOGAS, フロントエンド開発, 社内用語",ナイキスト,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,,myTOKYOGASのスクラムチームの一つ。主にWebフロントエンド領域を担当する。
Argo CD,"システム, 自動化技術, 開発ツール",アルゴシーディー,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,ArgoCD,Kubernetes向けのGitOps型継続的デリバリー（CD）ツール。Gitリポジトリの定義に基づきクラスタへのデプロイを自動化する。mTGの開発基盤で採用。
暮らしES基盤,"システム, データ管理, 共通基盤",クラシイーエスキバン,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,Elasticsearch基盤,Elasticsearchを活用した検索・データ分析基盤。暮らし関連サービスのデータ検索やログ分析等に使用される。
会員ID,"ID管理, mTG/myTOKYOGAS, 会員管理",カイインアイディー,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,memberID,myTOKYOGAS会員を一意に識別するためのID。TG-IDとは別に会員単位で採番される。
EKS,"ITインフラ, クラウドサービス, システム",イーケーエス,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,Amazon Elastic Kubernetes Service,AWSが提供するマネージドKubernetesサービス。mTGのマイクロサービス基盤として使用されている。
SoI,"システムアーキテクチャ, データ分析, 業界用語",エスオーアイ,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,System of Insight,データ分析・インサイト導出を担うシステム群の総称。EA分類でSoE/SoRから収集したデータを分析し、意思決定を支援する領域。
Guardians,"mTG/myTOKYOGAS, 社内用語",ガーディアンズ,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,,myTOKYOGASのスクラムチームの一つ。主にセキュリティ・認証・基盤領域を担当する。
Databricks,"クラウドサービス, システム, データ分析",データブリックス,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,,Apache Sparkベースの統合データ分析プラットフォーム。東京ガスではデータ基盤・分析環境として活用されている。
EA,"システムアーキテクチャ, 共通基盤, 業界用語",イーエー,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,Enterprise Architecture / エンタープライズアーキテクチャ,東京ガスグループ全体のシステム構造・方針を俯瞰的に定義するフレームワーク。SoE・SoR・SoIの3層に分類し、各システムの役割と連携を整理する。
Kraken,"システム, 新システム, 顧客管理システム",クラケン,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,クラーケン,英Kraken Technologies社が提供するエネルギー小売向けCIS/料金計算基幹システム。東京ガスではmTGの新料金・契約基盤として導入を推進中。
Fluppuccino,"mTG/myTOKYOGAS, モバイルアプリ, 社内用語",フラプチーノ,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,フラプチ,myTOKYOGASのスクラムチームの一つ。主にモバイルアプリ領域を担当する。
CDP,"デジタルマーケティング, データ管理, 顧客管理",シーディーピー,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,Customer Data Platform,複数チャネルの顧客データを統合・一元管理し、セグメント分析やパーソナライズ施策に活用するためのデータ基盤。
SSO,"システム, ユーザー認証, 共通基盤",エスエスオー,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,Single Sign-On / シングルサインオン,一度の認証で複数のサービスやアプリケーションにアクセスできる仕組み。認証基盤刷新PJで導入・統合が検討されている。
SoR,"システムアーキテクチャ, 業界用語",エスオーアール,2026年3月29日 10:43,2026年3月29日 10:43,Yohei Sugisaki,System of Record,正式な業務データ（契約・請求・顧客情報など）を管理する基幹系システム群の総称。EA分類でバックエンド・記録系領域を指す。
重ね売り,"小売戦略, 社内用語, 顧客エンゲージメント",カサネウリ,2026年3月29日 10:47,2026年3月29日 10:47,Yohei Sugisaki,クロスセル,既存顧客への商材横断の追加販売。GPS（ガス・電力・ソリューション）の拡販を指す。
供給地点特定番号,"契約管理, 電力サービス",キョウキュウチテントクテイバンゴウ,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,地点番号,電力の需要地点を一意に特定する22桁の番号。電気料金明細やスイッチング手続きで使用。電気複数契約時は供給地点ごとに切り替えて表示。
電話認証,"mTG/myTOKYOGAS, ユーザー認証",デンワニンショウ,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,事前に登録された電話番号からの架電により本人確認を行う認証方式。ID再発行・ポイント交換・個人情報閲覧等で利用。電話機の保持により本人性を担保する。
二段階認証,"mTG/myTOKYOGAS, ユーザー認証",ニダンカイニンショウ,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,2段階認証,ID/PW認証後に追加で行うメール（PINコード送付）または電話による本人確認。個人情報①の閲覧・ポイント交換・認証方式変更・パスワード変更時に必須。
仮登録会員,"mTG/myTOKYOGAS, 会員管理",カリトウロクカイイン,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,メール経由の自動登録後、初回ログイン未済の会員種別。mTGの利用は不可。初回ログイン＋規約同意＋本人確認＋必要事項入力で本会員に昇格する。
お客さま番号,"mTG/myTOKYOGAS, 顧客識別番号",オキャクサマバンゴウ,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,客番,東京ガスが契約ごとに付番する顧客識別番号。1x（ガス供給契約）・2x（支払契約）・3x（サービス契約）・4x（ガス使用契約）等の体系がある。mTGの会員登録・料金表示の基本単位。
BFF,"ウェブ技術, システムアーキテクチャ",ビーエフエフ,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,Backend For Frontend,フロントエンド専用のバックエンドAPI層。mTGではフロント/BFF領域をTG側が担当し、バックエンドをiNETが担当する構成。
